epoch,train_loss,val_loss,learning_rate
1,4.128638460124873e+30,3.625256677386477e+30,0.001
2,4.125377926436765e+30,3.6252566754975307e+30,0.0009993070929904524
3,4.129517648874557e+30,3.625256658497011e+30,0.0009986146661010288
4,4.129364102021787e+30,3.625256658497011e+30,0.0009979227189990504
5,4.1392891461167097e+30,3.625256658497011e+30,0.0009972312513520693
6,4.34270325978812e+30,3.625256628273866e+30,0.0009965402628278675
7,4.1362726791336946e+30,3.625256658497011e+30,0.0009958497530944577
8,4.215644645620517e+30,3.6252566698306907e+30,0.0009951597218200825
9,4.187777565857897e+30,3.6252566698306907e+30,0.000994470168673214
10,4.2483331788569175e+30,3.625256643385438e+30,0.0009937810933225543
11,4.158963125263046e+30,3.6252566396075453e+30,0.0009930924954370355
12,4.1253991209280666e+30,3.6252566396075453e+30,0.000992404374685818
13,4.13215687892819e+30,3.6252566698306907e+30,0.0009917167307382927
14,4.1910765202091823e+30,3.6252566396075453e+30,0.0009910295632640787
15,4.1383260120699e+30,3.6252566396075453e+30,0.0009903428719330242
16,4.1358435421203497e+30,3.6252566396075453e+30,0.0009896566564152065
17,4.126376142816545e+30,3.6252566698306907e+30,0.000988970916380931
18,4.156609150650231e+30,3.6252566396075453e+30,0.000988285651500732
19,4.143312753475842e+30,3.6252566396075453e+30,0.000987600861445372
20,4.252748057508093e+30,3.6252566396075453e+30,0.0009869165458858413
21,4.133297363618e+30,3.6252566396075453e+30,0.0009862327044933587
22,4.1933231658976265e+30,3.6252566396075453e+30,0.0009855493369393703
23,4.2046309964987015e+30,3.6252566396075453e+30,0.0009848664428955501
24,4.7464710097344106e+30,3.6252566396075453e+30,0.0009841840220337996
25,4.13038951106409e+30,3.6252566396075453e+30,0.0009835020740262478
26,4.5507835963654433e+30,3.6252566396075453e+30,0.0009828205985452506
27,4.4978978580290316e+30,3.6252566396075453e+30,0.000982139595263391
28,4.123447694363194e+30,3.6252566396075453e+30,0.0009814590638534788
29,4.122472844635666e+30,3.6252566396075453e+30,0.0009807790039885508
30,4.1629290921826775e+30,3.6252566698306907e+30,0.0009800994153418702
31,4.131549324272283e+30,3.6252566698306907e+30,0.0009794202975869264
32,4.125989001170175e+30,3.6252566698306907e+30,0.0009787416503974353
33,4.276905617824776e+30,3.6252566698306907e+30,0.0009780634734473388
34,4.1306331177851604e+30,3.6252566698306907e+30,0.0009773857664108047
35,4.123079500127468e+30,3.6252566396075453e+30,0.0009767085289622266
36,4.257709252187679e+30,3.6252566396075453e+30,0.0009760317607762238
