epoch,loss,val_loss
0,0.8994094133377075,0.8117102384567261
1,0.7689257860183716,0.7443469762802124
2,0.7168651819229126,0.7122315168380737
3,0.6878124475479126,0.6933403611183167
4,0.6716127991676331,0.6834698915481567
5,0.6597018837928772,0.6718609929084778
6,0.6523429751396179,0.6671754121780396
7,0.6463858485221863,0.6633114218711853
8,0.6401282548904419,0.6586678624153137
9,0.6353490948677063,0.6508330702781677
10,0.6291860938072205,0.6477926969528198
11,0.6248082518577576,0.6458399295806885
12,0.6220989227294922,0.6437405943870544
13,0.6204846501350403,0.6488326191902161
14,0.6214612722396851,0.6413825750350952
15,0.6155278086662292,0.6400385499000549
16,0.6109388470649719,0.6314448714256287
17,0.6044827103614807,0.6297916173934937
18,0.6009550094604492,0.6261684894561768
19,0.597600519657135,0.6259083151817322
20,0.5928875803947449,0.6215381026268005
21,0.5915485620498657,0.6212790012359619
22,0.5889719128608704,0.6189466118812561
23,0.5871098041534424,0.6179999709129333
24,0.5847756266593933,0.6185165047645569
25,0.5823556184768677,0.6130967140197754
26,0.5806639790534973,0.6125572919845581
27,0.5791302919387817,0.6111615300178528
28,0.5771796703338623,0.6120300889015198
29,0.5761026740074158,0.6116951107978821
30,0.5749944448471069,0.6116567850112915
31,0.5742480158805847,0.610916793346405
32,0.5732818841934204,0.6112130880355835
33,0.5725426077842712,0.6105204820632935
34,0.5718523263931274,0.6103938817977905
35,0.5711421370506287,0.609813392162323
36,0.5705649852752686,0.6099690198898315
37,0.5699559450149536,0.6100802421569824
38,0.5694962739944458,0.6100422739982605
39,0.5690024495124817,0.6096790432929993
40,0.5685545206069946,0.6100844144821167
41,0.5681285262107849,0.6094026565551758
42,0.5675329566001892,0.6100074648857117
43,0.5671409964561462,0.6097226738929749
44,0.5667026042938232,0.6101484894752502
45,0.5663173794746399,0.6102123260498047
46,0.5659492611885071,0.6107257008552551
47,0.5655553340911865,0.6107699871063232
48,0.5651649236679077,0.6107789278030396
49,0.5647704601287842,0.6102739572525024
50,0.5643653869628906,0.6098911166191101
51,0.5639403462409973,0.6095314025878906
52,0.5635759830474854,0.6092628240585327
53,0.5632164478302002,0.6090303659439087
54,0.5628781914710999,0.6090195775032043
55,0.5625634789466858,0.6088497042655945
56,0.5622257590293884,0.6089005470275879
57,0.5619077086448669,0.6088752150535583
58,0.5616212487220764,0.6089446544647217
59,0.5613458752632141,0.6089308857917786
60,0.5611100196838379,0.6089645624160767
61,0.5608709454536438,0.6089269518852234
62,0.5606662034988403,0.6089908480644226
63,0.5604554414749146,0.6089975237846375
64,0.5602714419364929,0.6090771555900574
65,0.5600808262825012,0.6091015338897705
66,0.5599071383476257,0.609196662902832
67,0.559730589389801,0.6092391610145569
68,0.5595652461051941,0.6093201041221619
69,0.5593995451927185,0.6093520522117615
70,0.5592420101165771,0.6093991994857788
71,0.5590860247612,0.6094198822975159
72,0.558938205242157,0.6094513535499573
73,0.5587935447692871,0.6094703078269958
74,0.5586562752723694,0.6094922423362732
75,0.5585223436355591,0.6095020771026611
76,0.558393657207489,0.6095072031021118
77,0.5582675337791443,0.6095044016838074
78,0.5581448674201965,0.6094905734062195
79,0.5580250024795532,0.6094690561294556
80,0.5579081773757935,0.6094455122947693
81,0.5577942728996277,0.6094232201576233
82,0.5576840043067932,0.609406054019928
83,0.5575776696205139,0.6093944907188416
84,0.5574751496315002,0.6093865036964417
85,0.557377278804779,0.6093807220458984
